followers_count,following_count,tweet_count,listed_count,account_age_days,has_profile_pic,has_bio,bio_length,has_url_in_bio,name_has_numbers,avg_daily_tweets,follower_following_ratio,is_verified,default_theme,geo_enabled,is_bot
3848,1717,3532,137,1752,1,1,87,0,0,5.12,1.26,1,1,1,0
88,4828,15656,6,204,0,0,30,1,0,138.71,0.2465,0,0,0,1
147,1750,22601,5,112,1,0,24,1,1,89.91,0.0581,0,0,0,1
4117,868,2290,81,1507,1,1,85,1,0,2.89,1.44,0,0,1,0
188,1958,34400,9,32,0,0,2,0,0,163.7,0.2197,0,1,0,1
673,1750,7024,181,2404,1,1,29,1,0,2.33,3.07,0,0,0,0
1304,949,4385,174,604,1,1,31,1,0,4.72,0.44,0,0,0,0
449,2677,45168,2,51,1,0,58,1,0,137.95,0.1527,0,1,0,1
224,4856,28782,5,376,1,0,44,1,1,30.35,0.1836,0,1,1,1
367,5716,18633,0,54,1,0,19,1,1,141.53,0.1178,0,1,0,1
206,3736,42508,7,88,1,1,0,1,1,54.39,0.214,0,1,0,1
1743,1855,1575,40,3479,1,1,36,1,0,1.99,3.97,0,1,0,0
351,1651,46311,4,129,1,1,12,0,0,194.4,0.1849,0,1,0,1
2067,533,3301,147,2618,1,0,87,0,0,1.33,1.7,0,0,0,0
341,2325,15587,6,298,1,1,11,1,1,119.34,0.245,0,1,1,1
363,5573,5435,5,144,1,0,57,1,1,167.07,0.2317,0,1,0,1
455,5072,9800,8,156,1,1,12,1,0,95.04,0.2916,0,1,0,1
31,1067,24382,0,205,1,1,38,1,1,29.7,0.0236,0,1,0,1
251,1190,7103,153,3415,1,1,70,1,0,2.07,4.52,0,1,1,0
302,5509,40004,8,14,1,0,51,1,1,80.67,0.1403,0,1,0,1
256,1161,2944,29,629,1,0,114,0,1,3.25,4.48,0,0,1,0
264,1737,9294,1,101,0,0,46,1,1,54.39,0.1137,0,0,0,1
45,2712,45023,1,293,0,1,18,1,1,41.65,0.2526,0,1,0,1
4120,1346,5179,106,3456,1,1,100,1,0,9.61,1.41,0,0,1,0
303,3346,42003,9,298,1,0,46,1,1,53.33,0.2586,0,1,0,1
307,2502,31886,3,264,0,1,21,1,1,137.51,0.0737,0,1,0,1
1956,1580,7858,142,2094,1,1,63,1,0,2.06,4.46,0,0,1,0
574,1888,3735,142,720,1,1,152,1,0,4.6,3.67,0,0,1,0
78,5580,1448,0,396,1,0,39,0,1,77.3,0.0693,0,1,0,1
1362,398,5927,11,3351,1,1,96,1,1,1.8,4.65,0,0,1,0
790,1913,1808,142,404,1,1,23,1,0,2.65,2.22,0,0,1,0
137,2456,41899,9,90,0,1,37,1,1,140.36,0.0855,0,1,0,1
4601,880,5057,19,3138,1,0,142,1,0,4.01,3.7,0,0,0,0
285,985,1768,112,3129,1,1,126,0,0,4.47,2.31,0,0,1,0
433,1832,46900,3,388,1,0,28,1,1,143.49,0.2699,0,1,0,1
380,1305,12752,6,361,1,0,16,1,1,188.07,0.0243,0,1,0,1
67,4408,41033,6,184,1,1,45,1,1,183.79,0.2473,0,1,0,1
234,2222,30845,8,323,0,0,3,1,1,182.57,0.1512,0,1,0,1
168,4761,49151,1,125,0,1,20,1,1,140.71,0.1422,0,0,0,1
778,856,7071,155,759,1,1,66,0,1,5.38,1.18,1,0,0,0
2574,1564,4860,16,341,1,1,148,0,0,9.71,2.71,0,0,1,0
296,1930,42837,1,339,0,0,31,0,1,76.28,0.1271,0,1,0,1
455,3674,8482,6,349,1,0,11,1,1,82.43,0.1584,0,1,0,1
250,2938,45075,2,11,0,1,10,1,1,53.12,0.028,0,1,0,1
3419,83,5308,79,2368,1,1,141,0,1,7.47,0.9,0,0,1,0
3025,110,6670,143,535,1,1,122,0,0,2.2,1.49,0,1,1,0
333,1708,15530,5,253,1,0,11,1,0,138.36,0.0517,0,1,0,1
423,2006,49460,7,132,0,0,49,1,1,62.06,0.1369,0,0,0,1
4583,1296,2629,60,2162,1,1,146,1,0,4.62,2.93,0,1,0,0
150,1986,41843,8,235,1,0,29,0,1,198.93,0.1346,0,1,0,1
284,1744,5553,3,186,1,1,33,1,1,46.82,0.033,0,1,1,1
245,1439,16058,4,378,1,1,35,1,1,151.3,0.0891,0,0,0,1
1000,1200,6078,164,2325,1,1,119,0,0,6.15,0.73,0,1,1,0
2172,1491,4658,182,797,1,0,134,1,0,7.39,1.13,0,0,1,0
4050,1812,1068,132,338,1,1,159,0,0,6.59,0.3,0,1,0,0
438,4424,7622,4,291,1,0,3,1,1,142.1,0.1897,0,0,1,1
2250,683,554,153,3206,1,1,74,1,0,9.18,1.24,1,0,0,0
1115,936,3523,44,2618,1,1,41,0,0,3.45,1.16,0,0,1,0
4208,749,7102,92,2381,1,1,65,1,0,7.02,2.11,0,0,1,0
4785,60,3668,84,2177,1,1,36,1,0,0.63,0.51,0,1,1,0
2921,412,4019,181,2815,1,1,122,0,1,9.96,2.38,0,0,1,0
1293,1340,5467,62,2683,1,1,121,0,0,4.43,3.3,0,0,1,0
1219,257,6216,27,441,1,1,156,0,0,1.86,2.02,1,0,1,0
274,2895,9989,1,220,1,1,7,0,1,134.08,0.185,0,1,0,1
372,1397,34367,7,366,1,1,15,1,0,64.19,0.1984,0,1,0,1
261,893,24987,9,37,0,0,33,1,0,62.71,0.0641,0,0,0,1
763,983,6107,190,586,1,1,88,1,0,4.29,4.93,0,0,0,0
3393,664,109,113,2639,1,1,118,0,0,1.35,4.99,0,0,1,0
151,1415,1125,0,310,1,1,46,1,1,145.21,0.2742,0,0,0,1
2911,565,401,46,1993,1,1,40,1,0,6.56,1.77,0,0,0,0
3101,1089,3754,170,2746,1,1,95,0,0,1.76,4.2,0,0,1,0
41,1970,1526,8,371,1,0,35,0,1,139.27,0.1963,0,0,0,1
135,4161,1068,6,124,0,1,50,0,1,159.6,0.2028,0,1,0,1
417,2122,39912,4,299,1,1,53,0,1,92.16,0.055,0,1,0,1
404,4093,17375,2,304,0,0,25,1,1,173.85,0.0235,0,1,0,1
2988,1934,7526,37,2538,1,1,135,0,0,9.74,4.67,0,0,1,0
3406,854,5054,100,2027,1,1,159,0,0,6.04,2.93,0,1,1,0
50,792,41860,0,356,1,1,46,1,1,150.14,0.1877,0,0,1,1
2836,998,5960,16,1296,1,1,117,1,0,2.13,1.27,0,0,1,0
3647,58,6611,50,2631,1,1,71,1,0,1.83,0.77,0,0,0,0
300,5421,29038,0,368,1,0,57,0,1,89.56,0.0496,0,1,0,1
3725,932,5391,136,510,1,1,40,0,0,4.19,1.46,0,0,1,0
259,1114,31268,8,82,0,1,7,1,1,72.51,0.2662,0,0,0,1
231,5483,34744,7,271,0,1,45,0,1,136.05,0.1045,0,1,0,1
4619,1513,6240,160,2036,1,1,125,0,0,2.15,3.91,0,0,0,0
1205,111,2031,87,2320,1,1,45,0,0,4.97,0.46,0,0,0,0
2640,1967,6797,181,880,1,0,45,0,0,4.32,4.19,0,1,1,0
336,5700,16339,2,303,0,1,56,1,0,64.17,0.1249,0,1,0,1
300,5946,6277,5,35,1,0,45,0,1,75.51,0.1198,0,0,0,1
64,5406,7677,5,23,1,0,10,1,1,31.39,0.0031,0,1,0,1
175,2576,42287,4,226,1,1,0,1,0,122.39,0.2232,0,1,0,1
417,1960,7306,2,290,0,0,3,1,1,22.59,0.0038,0,1,0,1
202,927,17968,3,133,0,0,20,0,1,102.32,0.069,0,1,1,1
2783,1302,5343,37,1853,1,1,90,1,1,3.34,0.77,0,0,0,0
346,5133,4582,5,51,0,0,45,1,1,175.34,0.2319,0,1,1,1
3580,850,2050,161,3073,1,1,49,0,0,1.77,2.73,0,0,1,0
152,4084,46183,0,11,0,0,52,1,1,117.71,0.1551,0,1,0,1
1877,1218,3819,13,265,1,1,91,1,0,8.84,3.09,0,0,0,0
4012,497,7237,26,1173,1,1,136,1,0,5.23,0.48,0,0,1,0
198,3809,40435,5,40,1,1,2,1,1,135.67,0.1333,0,1,0,1
4249,1758,950,147,1988,1,1,116,1,0,0.73,3.58,0,0,1,0
4686,214,5380,93,3131,1,1,82,0,1,2.72,4.77,0,1,1,0
229,2188,24192,0,257,0,1,35,1,1,120.91,0.1059,0,1,0,1
2493,598,3343,178,3603,1,1,146,1,0,6.29,3.43,0,0,1,0
2243,240,5624,146,3554,1,1,135,1,1,3.13,3.1,0,0,1,0
193,971,16852,0,12,0,1,3,1,0,171.93,0.1779,0,0,0,1
3913,157,6642,187,2792,1,1,57,1,0,8.74,4.08,0,0,1,0
1579,1454,3968,3,1736,1,1,110,1,1,9.53,3.75,0,0,1,0
4335,787,4651,180,189,1,1,27,1,0,8.88,2.81,0,0,1,0
120,2246,32672,7,312,0,1,16,1,1,128.44,0.1982,0,1,0,1
1403,1187,1789,61,2341,1,1,152,0,0,4.33,3.77,0,0,1,0
5,4325,47998,1,159,1,0,3,1,1,191.34,0.2245,0,1,0,1
2172,384,3136,140,860,1,1,147,1,0,1.87,1.85,0,0,0,0
951,778,4026,151,3273,1,1,91,0,0,8.82,3.64,0,0,0,0
920,1876,1143,108,3439,1,1,159,0,0,2.13,4.71,0,0,1,0
172,4064,5600,3,305,0,0,31,0,1,143.33,0.132,0,1,0,1
359,1862,11769,9,209,1,1,59,1,0,79.89,0.0293,0,1,0,1
271,5840,30160,5,398,0,1,50,1,1,50.08,0.1311,0,1,0,1
357,5223,17515,2,288,0,1,34,1,1,132.62,0.2309,0,1,0,1
68,881,17533,0,103,0,1,22,0,1,21.8,0.1795,0,0,0,1
312,1090,4883,143,1286,1,1,127,1,1,8.78,0.74,0,0,0,0
291,1988,22414,4,72,0,0,40,1,1,37.2,0.1076,0,1,0,1
240,5803,19882,1,54,0,0,57,1,1,183.74,0.2963,0,1,0,1
1381,1315,5279,123,1818,1,1,55,1,0,2.62,2.1,0,0,1,0
487,3465,34823,7,201,0,0,8,1,1,179.63,0.2059,0,1,1,1
72,2317,27028,8,5,1,1,4,0,1,153.31,0.2992,0,0,0,1
2539,65,6930,12,3552,1,1,22,1,0,5.93,4.64,0,0,1,0
274,542,1973,6,362,1,0,55,0,0,146.68,0.0152,0,1,1,1
2025,1100,2455,93,2410,1,1,83,0,0,1.05,2.73,0,0,0,0
219,503,47904,5,223,1,1,15,1,1,150.08,0.1879,0,1,0,1
2948,1759,2589,119,2786,1,1,89,0,1,3.54,4.7,0,0,1,0
359,2412,9126,6,148,0,0,1,0,1,67.22,0.1865,0,0,0,1
222,2848,18091,6,62,1,1,58,1,0,22.47,0.0271,0,0,1,1
3862,248,4824,80,3190,1,1,149,0,0,4.65,2.72,0,0,1,0
440,4866,43154,5,303,0,1,40,1,1,128.83,0.2345,0,1,0,1
348,2042,44010,6,334,0,0,23,0,1,59.24,0.0708,0,0,0,1
55,1751,116,172,3152,1,1,68,0,0,6.07,3.1,0,0,1,0
716,128,708,45,2089,1,1,31,0,1,7.66,2.47,0,1,0,0
25,5531,3364,1,339,0,0,20,1,1,73.21,0.2459,0,1,0,1
463,3225,44270,7,119,0,0,47,1,1,50.76,0.2949,0,1,0,1
34,3563,42303,8,214,1,0,37,1,1,199.98,0.1293,0,1,0,1
230,794,2354,5,13,0,0,0,0,1,31.0,0.2546,0,1,0,1
3006,385,5648,67,2960,1,1,77,1,0,9.15,1.46,0,0,0,0
4943,455,1126,151,508,1,1,48,0,0,0.75,0.68,0,0,1,0
157,4197,36011,5,82,0,1,32,0,1,21.93,0.2737,0,1,0,1
1698,504,1100,142,1108,1,1,38,1,0,7.25,1.87,0,0,0,0
825,478,2146,89,2421,1,1,92,1,1,5.07,1.33,0,0,0,0
2554,481,4231,127,1169,1,1,73,1,0,3.18,3.54,0,0,1,0
232,631,2199,2,170,1,0,25,1,1,76.98,0.2101,0,0,0,1
1654,722,2811,138,319,1,1,41,1,0,0.62,3.56,0,0,1,0
3081,259,5472,36,599,1,1,36,0,0,3.57,3.66,0,0,1,0
217,771,49897,7,220,0,0,54,1,1,72.43,0.091,0,1,1,1
159,1187,7728,7,274,0,0,41,1,1,111.05,0.2481,0,1,0,1
560,468,3183,112,366,1,1,150,0,0,3.58,2.37,0,1,1,0
4981,681,7485,191,533,0,1,71,0,0,1.16,0.84,0,0,1,0
3950,1358,1503,199,451,1,1,88,1,0,3.2,0.89,0,0,1,0
1065,1181,3279,155,640,1,0,30,0,0,0.61,2.19,0,0,1,0
2607,1549,1467,148,1916,1,0,86,0,0,2.55,2.6,0,0,0,0
214,4031,36291,3,3,0,0,38,1,1,115.55,0.17,0,0,1,1
423,2634,40611,9,176,1,1,9,0,1,74.18,0.2768,0,0,1,1
319,2154,10529,5,301,0,1,44,1,1,144.14,0.2197,0,1,0,1
2797,1157,7080,105,2564,1,1,43,1,0,2.83,2.01,0,0,1,0
387,2127,1594,2,277,1,1,28,1,1,105.86,0.0806,0,1,0,1
211,1037,369,100,758,0,0,84,0,0,7.46,2.29,0,0,0,0
4326,1523,2930,4,2553,1,0,84,1,0,0.77,4.73,0,0,0,0
1197,1274,4540,181,1291,1,1,29,1,0,3.25,4.81,0,0,0,0
1956,812,5318,166,2929,1,1,118,0,0,8.16,1.18,0,1,0,0
385,3995,22566,1,328,0,0,53,0,1,141.79,0.2645,0,0,0,1
249,4183,24267,0,29,1,0,27,1,1,145.6,0.1992,0,0,0,1
4919,450,2459,196,2239,1,1,26,0,0,4.81,1.21,0,0,0,0
4661,1523,4868,58,3611,1,1,90,0,0,3.44,3.95,0,0,1,0
245,1816,45488,5,287,0,0,20,0,1,106.08,0.2159,0,1,0,1
2941,1316,621,108,1698,1,1,45,0,0,3.48,3.82,0,0,0,0
2036,78,5873,151,2035,1,1,49,1,0,2.92,0.66,0,1,0,0
3687,1022,5030,119,3342,1,1,109,0,0,5.37,1.97,0,0,1,0
307,2670,47546,3,150,1,1,0,0,1,118.54,0.1182,0,0,0,1
235,3991,7331,5,143,0,0,50,1,1,189.6,0.2264,0,1,0,1
328,3809,37681,0,203,1,0,28,0,1,117.02,0.2864,0,1,0,1
1116,78,540,177,3021,1,1,89,1,0,6.71,1.42,0,0,1,0
854,1312,1374,158,537,1,1,124,1,0,7.82,3.67,0,0,0,0
268,3717,41068,4,144,1,0,24,1,0,144.47,0.2348,0,1,1,1
4095,1244,1416,3,2835,1,1,88,1,0,5.61,1.71,0,0,0,0
433,524,3167,6,104,1,0,11,1,1,41.89,0.2186,0,1,0,1
2106,391,3781,83,2128,1,1,146,0,0,5.49,3.76,0,0,0,0
403,3120,16891,9,89,1,1,5,1,1,28.62,0.1965,0,1,0,1
101,2812,18848,0,350,1,0,12,0,1,54.82,0.0329,0,1,0,1
163,4535,16405,4,204,0,1,15,0,1,48.5,0.0411,0,1,0,1
1198,1644,3630,41,1624,1,1,97,1,0,5.71,1.25,0,0,1,0
109,1005,8466,6,216,1,0,16,0,1,76.62,0.1602,0,1,0,1
4720,1146,7604,5,1995,1,1,32,0,0,6.0,3.5,0,1,1,0
234,5982,31509,3,173,1,1,35,0,0,125.2,0.2509,0,0,0,1
3122,1268,6649,119,1856,1,0,104,0,0,9.03,0.64,1,0,0,0
575,797,1864,67,2980,0,1,121,0,0,2.89,2.61,0,0,0,0
242,642,7028,7,228,0,1,1,1,0,169.92,0.1489,0,1,0,1
3652,1162,6870,130,2398,1,1,32,1,0,4.05,0.46,0,1,1,0
1252,508,4412,28,2168,1,1,111,0,0,5.09,4.71,0,1,1,0
40,5357,23282,7,333,0,0,18,0,1,52.56,0.2465,0,1,0,1
613,863,4393,99,2338,1,1,117,1,0,3.19,2.15,0,0,1,0
1878,656,6969,56,631,1,1,44,0,0,9.24,3.73,0,0,0,0
228,2951,3144,7,222,0,0,25,0,0,140.46,0.2355,0,0,0,1
517,1066,3291,118,1081,1,1,61,1,1,3.89,2.46,0,0,1,0
145,5888,47972,2,142,1,0,44,0,1,44.54,0.1571,0,1,0,1
180,4311,45153,5,58,1,1,45,1,1,103.9,0.2176,0,0,1,1
1945,1571,3288,167,2281,1,1,73,0,0,4.26,2.91,0,1,1,0
190,3538,33326,0,126,1,1,43,1,1,133.23,0.2724,0,1,0,1
1415,1513,3813,46,2070,1,1,72,0,0,2.7,0.77,0,0,0,0
194,949,16357,9,386,0,0,54,1,1,118.77,0.09,0,0,0,1
169,3247,49426,7,104,0,0,39,0,1,28.73,0.1454,0,1,0,1
4348,1324,1701,195,3610,0,1,105,1,0,1.08,1.34,0,1,0,0
273,1740,7942,25,2218,1,1,124,1,0,8.69,4.4,0,0,1,0
173,4043,31138,1,345,1,0,17,1,1,28.7,0.2316,0,1,0,1
481,2606,16029,9,316,0,1,49,1,0,70.72,0.2888,0,1,1,1
4909,827,2460,173,436,1,1,120,0,0,7.43,4.91,0,0,1,0
5,800,23805,2,103,1,1,54,1,1,127.3,0.2838,0,0,0,1
1578,1433,113,131,1122,1,1,102,0,0,3.05,1.79,0,0,1,0
303,2760,49435,4,240,0,0,54,1,1,153.83,0.0027,0,1,1,1
81,2220,18907,4,20,1,0,1,1,1,186.0,0.1968,0,1,0,1
41,2540,20084,8,136,1,1,36,1,1,84.99,0.0453,0,1,0,1
3174,827,6402,177,2282,1,1,86,0,0,8.22,2.74,0,0,1,0
3202,989,7619,34,2487,1,1,114,0,0,5.12,0.45,0,1,0,0
3026,1219,4133,85,2126,1,1,59,0,0,0.65,0.6,0,0,1,0
484,4448,18070,4,206,1,0,43,1,1,161.24,0.0966,0,1,0,1
225,931,38631,2,63,0,1,44,1,1,197.15,0.2222,0,1,0,1
417,890,1059,8,265,1,0,53,1,1,190.0,0.2721,0,1,0,1
3686,1648,441,142,1049,1,1,30,0,0,1.96,2.08,0,0,1,0
300,5754,38353,9,10,0,1,2,0,1,66.2,0.1298,0,0,1,1
65,2202,44835,8,107,1,0,11,1,1,199.76,0.1528,0,1,0,1
193,5527,17151,8,33,0,0,28,1,1,122.38,0.1964,0,1,1,1
59,830,3238,75,2326,1,1,56,1,0,2.03,1.2,0,0,1,0
3963,863,6752,115,3493,1,1,158,0,0,2.46,0.79,0,0,1,0
306,1938,32248,0,191,1,1,24,0,1,74.44,0.079,0,1,0,1
3158,1702,7214,183,650,1,1,40,1,0,1.7,4.48,0,1,0,0
402,4316,16354,2,102,0,0,40,0,1,190.17,0.0402,0,1,0,1
80,5611,30272,5,259,0,1,54,1,0,156.72,0.1961,0,1,0,1
4621,1467,892,198,2855,1,1,78,0,0,6.24,0.4,0,0,1,0
274,5871,7589,7,67,0,0,40,1,1,150.57,0.0453,0,1,0,1
364,5058,27078,0,219,1,0,31,1,1,60.28,0.2992,0,1,0,1
2663,1248,3566,74,292,1,1,26,0,0,4.77,0.44,0,0,1,0
1234,988,1104,111,3503,1,1,143,0,0,3.71,3.74,0,0,1,0
263,2993,21764,3,394,1,1,6,0,1,40.67,0.2141,0,1,0,1
387,974,7543,36,827,1,1,72,0,0,2.53,1.85,0,0,0,0
3049,1126,6912,169,2930,1,1,75,1,1,8.12,4.32,0,0,1,0
323,3525,47622,1,198,1,1,7,1,0,162.82,0.2887,0,1,0,1
317,5211,15024,7,26,0,0,54,1,0,182.84,0.0534,0,1,0,1
449,3652,13935,5,315,1,0,52,1,1,153.87,0.2475,0,0,0,1
297,4962,13741,9,172,0,0,9,0,0,184.23,0.0076,0,0,0,1
4235,1396,4537,49,1244,0,1,85,1,0,4.47,0.39,0,0,0,0
4107,1117,4665,134,3389,1,1,74,0,0,8.34,4.73,0,0,1,0
2662,81,2213,12,305,1,1,154,1,0,8.11,3.01,0,1,1,0
410,4098,16478,8,58,1,1,0,1,0,137.36,0.1631,0,1,0,1
300,1513,32643,7,319,1,0,12,0,1,52.42,0.1288,0,0,0,1
2477,1489,1646,153,1772,1,1,60,1,0,4.78,3.71,0,0,1,0
2753,1022,1825,182,2551,1,1,68,0,0,8.55,2.7,0,0,1,0
4937,1716,7215,148,380,1,1,159,0,0,6.78,0.95,0,0,0,0
94,777,17017,2,192,0,0,23,1,0,109.0,0.1311,0,1,1,1
241,5410,22921,5,310,1,0,53,1,1,148.26,0.2441,0,0,0,1
1811,569,4898,130,354,1,1,149,1,0,6.85,0.39,0,0,1,0
497,5965,42713,6,165,1,0,2,0,1,147.4,0.2754,0,1,0,1
412,1525,30604,2,226,0,0,1,0,0,91.29,0.1566,0,1,1,1
156,597,19588,8,95,1,1,17,0,0,42.3,0.0682,0,1,0,1
1884,1977,5884,138,582,1,1,109,0,0,7.92,1.86,0,0,1,0
1949,1136,4576,2,3064,1,1,24,1,0,9.74,1.3,0,0,0,0
59,2837,21553,7,331,0,0,56,1,1,152.36,0.2074,0,1,0,1
66,4082,31575,0,384,0,0,39,1,1,151.2,0.1023,0,1,0,1
145,5520,17167,4,233,0,0,21,0,1,74.98,0.1587,0,1,0,1
3526,781,7627,139,3095,1,1,77,1,0,5.76,4.58,0,0,1,0
437,2384,47097,4,227,0,0,36,1,1,47.87,0.0277,0,1,0,1
3043,103,7744,119,699,1,1,70,0,0,4.55,3.46,0,0,1,0
374,1537,15066,9,370,0,1,48,1,1,115.16,0.0712,0,1,1,1
311,5816,26868,1,148,1,1,47,1,1,162.3,0.0081,0,1,1,1
372,4120,25122,6,256,1,1,43,1,1,157.99,0.2052,0,1,1,1
174,4133,23875,2,208,1,0,1,0,1,73.88,0.1832,0,0,0,1
2874,1391,127,111,2547,1,0,146,0,0,7.09,1.78,0,1,1,0
428,1580,19733,3,223,1,1,29,0,1,167.14,0.0043,0,1,0,1
904,1437,1298,63,1669,1,1,56,0,0,7.44,4.05,0,1,1,0
1866,1876,4531,75,2276,1,1,101,1,0,0.78,3.63,1,0,1,0
624,1813,4965,51,3324,1,1,159,1,0,9.35,1.32,0,0,0,0
554,1405,1866,60,2967,1,1,77,0,0,5.11,2.08,0,1,1,0
320,1190,5027,0,224,1,1,20,1,1,114.15,0.1346,0,1,0,1
4854,1644,5889,86,3051,1,1,101,0,0,9.6,3.53,0,0,0,0
98,4811,38185,9,294,1,1,17,1,0,31.88,0.2287,0,1,1,1
4630,619,6893,166,3252,1,1,152,1,0,8.02,3.28,0,0,1,0
4019,797,6022,138,2686,1,1,103,0,0,8.66,3.67,0,0,1,0
520,642,7674,15,3188,1,1,91,0,0,0.59,0.9,0,1,1,0
458,5008,20856,4,32,0,0,47,1,1,171.22,0.2761,0,1,0,1
4362,739,4852,24,2981,1,1,152,1,0,1.79,3.28,0,1,1,0
624,1341,3516,43,2972,1,1,63,1,0,0.97,1.93,0,0,1,0
495,2387,23290,4,37,1,0,2,1,1,53.03,0.2938,0,1,1,1
1419,737,5595,46,3003,1,1,43,1,0,2.12,3.57,0,0,0,0
3632,286,4783,99,2521,1,0,60,1,0,4.09,4.23,0,0,1,0
412,949,41950,0,133,1,1,37,1,1,110.79,0.2053,0,1,0,1
329,4571,48577,8,42,1,1,6,1,0,166.63,0.2996,0,1,0,1
395,1750,31255,3,94,1,1,32,0,1,57.36,0.2046,0,1,0,1
3444,91,506,124,2454,1,1,131,1,0,5.33,1.95,0,0,1,0
201,4119,13328,9,211,1,0,50,0,1,171.11,0.2256,0,1,0,1
2076,60,178,123,1717,1,1,94,0,0,8.61,4.96,0,0,1,0
4899,1683,4043,70,2549,1,1,81,1,0,6.66,3.75,0,1,0,0
440,2232,13621,7,198,1,0,25,1,1,169.68,0.2558,0,1,0,1
2710,1361,7152,122,212,1,1,70,1,1,2.01,3.53,0,0,1,0
191,5537,15620,8,376,0,1,58,1,0,120.47,0.0793,0,1,0,1
31,1635,42876,6,105,1,0,49,1,1,72.25,0.2269,0,1,0,1
3080,1005,6479,183,2208,1,1,39,0,0,9.45,1.68,0,0,0,0
252,1800,6189,99,3100,1,1,128,0,0,3.24,3.6,0,0,0,0
445,1417,2575,147,2923,1,1,67,0,0,1.78,0.5,0,0,0,0
9,2039,10546,3,259,1,0,31,1,0,145.81,0.1655,0,0,0,1
441,1421,11220,0,258,0,0,57,1,0,123.52,0.1019,0,0,0,1
